,county,Population
1012,Calloway,38975
1013,Campbell,94008
1014,Carlisle,4777
1015,Carroll,11111
1016,Carter,26098
1017,Casey,15948
1018,Christian,71006
1019,Clark,37673
1020,Clay,19592
1021,Clinton,9183
1022,Crittenden,8982
1023,Cumberland,6047
1024,Daviess,104457
1025,Edmonson,12635
1026,Elliott,7263
1027,Estill,14002
1028,Fayette,329437
1029,Fleming,15591
1030,Floyd,34532
1031,Franklin,52442
1032,Fulton,6282
1033,Gallatin,8805
1034,Garrard,18040
1035,Grant,25722
1036,Graves,36821
1037,Grayson,27070
1038,Green,11552
1039,Greenup,35273
1040,Hancock,9013
1041,Hardin,112826
1042,Harlan,25052
1043,Harrison,19525
1044,Hart,19923
1045,Henderson,44175
1046,Henry,16198
1047,Hickman,4393
1048,Hopkins,45218
1049,Jackson,13358
1050,Jefferson,793881
1051,Jessamine,56495
1052,Johnson,22098
1053,Kenton,174862
1054,Knott,13438
1055,Knox,29657
1056,Larue,15128
1057,Laurel,63353
1058,Lawrence,15798
1059,Lee,7313
1060,Leslie,9729
1061,Letcher,20139
1062,Lewis,12875
1063,Lincoln,24910
1064,Livingston,8815
1065,Logan,28467
1066,Lyon,9078
1067,McCracken,67550
1068,McCreary,16824
1069,McLean,9126
1070,Madison,99582
1071,Magoffin,11118
1072,Marion,19851
1073,Marshall,31734
1074,Martin,10696
1075,Mason,16956
1076,Meade,30442
1077,Menifee,6341
1078,Mercer,23515
1079,Metcalfe,10558
1080,Monroe,11163
1081,Montgomery,28771
1082,Morgan,14300
1083,Muhlenberg,30512
1084,Nelson,48706
1085,Nicholas,7816
1086,Ohio,23933
1087,Oldham,70525
1088,Owen,11435
1089,Owsley,3928
1090,Pendleton,14844
1091,Perry,26739
1092,Pike,55430
1093,Powell,12928
1094,Pulaski,66842
1095,Robertson,2382
1096,Rockcastle,16226
1097,Rowan,24675
1098,Russell,18458
1099,Scott,61700
1100,Shelby,50124
1101,Simpson,20350
1102,Spencer,20823
1103,Taylor,26809
1104,Todd,12757
1105,Trigg,14559
1106,Trimble,8591
1107,Union,13178
1108,Warren,147936
1109,Washington,12269
1110,Wayne,19629
1111,Webster,12854
1112,Whitley,37233
1113,Wolfe,6364
1114,Woodford,27728
1115,,56604
1116,,22501
1117,,133534
1118,,20050
1119,,38373
1120,,36695
1121,,12412
1122,,131102
1123,,224893
1124,,206861
1125,,9393
1126,,4678
1127,,8280
1128,,13537
1129,,17797
1130,,27274
1131,,453022
1132,,6892
1133,,19112
1134,,31745
1135,,19107
1136,,22109
1137,,67540
1138,,29766
1139,,14797
1140,,427253
1141,,31436
1142,,254241
1143,,95342
1144,,14702
1145,,48243
1146,,152886
1147,,9093
1148,,23787
1149,,35982
1150,,362701
1151,,157874
1152,,22289
1153,,19845
1154,,125899
1155,,7238
1156,,19643
1157,,21746
1158,,44783
1159,,50400
1160,,10857
1161,,19110
1162,,39694
1163,,80869
1164,,51218
1165,,46799
1166,,277615
1167,,139823
1168,,3844
1169,,103864
1170,,20617
1171,,57641
1172,,45819
1173,,45090
1174,,35184
1175,,28425
1176,,9254
1177,,15155
1178,,13405
1179,Androscoggin,115272
1180,Aroostook,66776
1181,Cumberland,313809
1182,Franklin,30902
1183,Hancock,56946
1184,Kennebec,128461
1185,Knox,40981
1186,Lincoln,36491
1187,Oxford,60039
1188,Penobscot,156840
1189,Piscataquis,17432
1190,Sagadahoc,37582
1191,Somerset,51338
1192,Waldo,40617
1193,Washington,31383
1194,York,220143
1195,Allegany,67097
1196,Anne Arundel,602350
1197,Baltimore,852425
1198,Calvert,94913
1199,Caroline,34248
1200,Carroll,177108
1201,Cecil,106305
1202,Charles,174478
1203,Dorchester,33138
1204,Frederick,299317
1205,Garrett,28393
1206,Harford,265514
1207,Howard,339668
1208,Kent,19557
1209,Montgomery,1082273
1210,Prince George's,966629
1211,Queen Anne's,53688
1212,St. Mary's,116469
1213,Somerset,25241
1214,Talbot,38244
1215,Washington,157228
1216,Wicomico,106329
1217,Worcester,54337
1218,,568271
1219,Barnstable,232570
1220,Berkshire,128726
1221,Bristol,588593
1222,Dukes,21061
1223,Essex,823938
1224,Franklin,70871
1225,Hampden,464151
1226,Hampshire,165399
1227,Middlesex,1668956
1228,Nantucket,14670
1229,Norfolk,740754
1230,Plymouth,542090
1231,Suffolk,793144
1232,Worcester,881248
1233,Alcona,10624
1234,Alger,8695
1235,Allegan,122429
1236,Alpena,28903
1237,Antrim,24536
1238,Arenac,15087
1239,Baraga,8169
1240,Barry,64025
1241,Bay,102651
1242,Benzie,18520
1243,Berrien,152703
1244,Branch,46187
1245,Calhoun,133785
1246,Cass,51550
1247,Charlevoix,26105
1248,Cheboygan,25964
1249,Chippewa,36253
1250,Clare,31405
1251,Clinton,80050
1252,Crawford,13599
1253,Delta,36687
1254,Dickinson,25995
1255,Eaton,109494
1256,Emmet,33949
1257,Genesee,402279
1258,Gladwin,25995
1259,Gogebic,14217
1260,Grand Traverse,96625
1261,Gratiot,41372
1262,Hillsdale,45590
1263,Houghton,38041
1264,Huron,30780
1265,Ingham,290427
1266,Ionia,66250
1267,Iosco,25361
1268,Iron,11709
1269,Isabella,65072
1270,Jackson,160233
1271,Kalamazoo,264780
1272,Kalkaska,18618
1273,Kent,673002
1274,Keweenaw,2161
1275,Lake,13005
1276,Lapeer,89168
1277,Leelanau,22871
1278,Lenawee,97746
1279,Livingston,196976
1280,Luce,6328
1281,Mackinac,11144
1282,Macomb,886175
1283,Manistee,25519
1284,Marquette,67979
1285,Mason,29093
1286,Mecosta,41947
1287,Menominee,23050
1288,Midland,84022
1289,Missaukee,15239
1290,Monroe,156045
1291,Montcalm,69314
1292,Montmorency,9828
1293,Muskegon,177428
1294,Newaygo,51504
1295,Oakland,1296888
1296,Oceana,27014
1297,Ogemaw,20985
1298,Ontonagon,5824
1299,Osceola,23484
1300,Oscoda,8596
1301,Otsego,26083
1302,Ottawa,306235
1303,Presque Isle,13230
1304,Roscommon,23932
1305,Saginaw,187714
1306,St. Clair,160308
1307,St. Joseph,61171
1308,Sanilac,40293
1309,Schoolcraft,8178
1310,Shiawassee,67982
1311,Tuscola,52757
1312,Van Buren,76129
1313,Washtenaw,373875
1314,Wayne,1771063
1315,Wexford,34460
1316,Aitkin,16335
1317,Anoka,376840
1318,Becker,35444
1319,Beltrami,46762
1320,Benton,41881
1321,Big Stone,5067
1322,Blue Earth,70700
1323,Brown,25710
1324,Carlton,36745
1325,Carver,112628
1326,Cass,31442
1327,Chippewa,12299
1328,Chisago,59105
1329,Clay,66848
1330,Clearwater,8630
1331,Cook,5571
1332,Cottonwood,11338
1333,Crow Wing,68642
1334,Dakota,453156
1335,Dodge,21242
1336,Douglas,39933
1337,Faribault,13886
1338,Fillmore,21502
1339,Freeborn,30314
1340,Goodhue,47982
1341,Grant,6109
1342,Hennepin,1273334
1343,Houston,18352
1344,Hubbard,22050
1345,Isanti,43687
1346,Itasca,45442
1347,Jackson,9861
1348,Kanabec,16608
1349,Kandiyohi,44674
1350,Kittson,3992
1351,Koochiching,11594
1352,Lac qui Parle,6636
1353,Lake,10698
1354,Lake of the Woods,3797
1355,Le Sueur,29458
1356,Lincoln,5564
1357,Lyon,25577
1358,McLeod,36780
1359,Mahnomen,5296
1360,Marshall,8771
1361,Martin,19561
1362,Meeker,23491
1363,Mille Lacs,27577
1364,Morrison,34520
1365,Mower,40900
1366,Murray,8044
1367,Nicollet,34493
1368,Nobles,21969
1369,Norman,6284
1370,Olmsted,166424
1371,Otter Tail,60884
1372,Pennington,13652
1373,Pine,30319
1374,Pipestone,9100
1375,Polk,30413
1376,Pope,11495
1377,Ramsey,542015
1378,Red Lake,3882
1379,Redwood,15254
1380,Renville,14453
1381,Rice,69025
1382,Rock,9525
1383,Roseau,15265
1384,St. Louis,200794
1385,Scott,157206
1386,Sherburne,103059
1387,Sibley,15194
1388,Stearns,163997
