,county,Population
1389,Steele,37434
1390,Stevens,9819
1391,Swift,9666
1392,Todd,25955
1393,Traverse,3134
1394,Wabasha,21574
1395,Wadena,14437
1396,Waseca,18684
1397,Washington,283960
1398,Watonwan,11204
1399,Wilkin,6268
1400,Winona,49973
1401,Wright,154593
1402,Yellow Medicine,9373
1403,Adams,28674
1404,Alcorn,34228
1405,Amite,12451
1406,Attala,17222
1407,Benton,7566
1408,Bolivar,28395
1409,Calhoun,12754
1410,Carroll,9378
1411,Chickasaw,16774
1412,Choctaw,8091
1413,Claiborne,8122
1414,Clarke,15155
1415,Clay,18213
1416,Coahoma,20105
1417,Copiah,27536
1418,Covington,18015
1419,DeSoto,195871
1420,Forrest,78435
1421,Franklin,7516
1422,George,25880
1423,Greene,13675
1424,Grenada,20931
1425,Hancock,46492
1426,Harrison,213730
1427,Hinds,211975
1428,Holmes,15560
1429,Humphreys,7121
1430,Issaquena,1295
1431,Itawamba,24198
1432,Jackson,147002
1433,Jasper,15799
1434,Jefferson,6900
1435,Jefferson Davis,11059
1436,Jones,65837
1437,Kemper,8562
1438,Lafayette,59843
1439,Lamar,66734
1440,Lauderdale,70588
1441,Lawrence,11672
1442,Leake,21462
1443,Lee,83012
1444,Leflore,26157
1445,Lincoln,34956
1446,Lowndes,57210
1447,Madison,114247
1448,Marion,24008
1449,Marshall,34374
1450,Monroe,33483
1451,Montgomery,9411
1452,Neshoba,28973
1453,Newton,21063
1454,Noxubee,9825
1455,Oktibbeha,51965
1456,Panola,32764
1457,Pearl River,59030
1458,Perry,11406
1459,Pike,38980
1460,Pontotoc,32014
1461,Prentiss,25489
1462,Quitman,5542
1463,Rankin,160573
1464,Scott,27666
1465,Sharkey,3234
1466,Simpson,25597
1467,Smith,14051
1468,Stone,19569
1469,Sunflower,23029
1470,Tallahatchie,10921
1471,Tate,28551
1472,Tippah,21423
1473,Tishomingo,18553
1474,Tunica,9157
1475,Union,28363
1476,Walthall,13839
1477,Warren,42105
1478,Washington,41181
1479,Wayne,19749
1480,Webster,10039
1481,Wilkinson,7820
1482,Winston,17418
1483,Yalobusha,12458
1484,Yazoo,23024
1485,Adair,25660
1486,Andrew,18091
1487,Atchison,5139
1488,Audrain,24304
1489,Barry,35618
1490,Barton,11717
1491,Bates,16394
1492,Benton,20614
1493,Bollinger,10610
1494,Boone,192154
1495,Buchanan,83574
1496,Butler,41814
1497,Caldwell,9000
1498,Callaway,45126
1499,Camden,44135
1500,Cape Girardeau,83658
1501,Carroll,8414
1502,Carter,5359
1503,Cass,113873
1504,Cedar,15023
1505,Chariton,7397
1506,Christian,96045
1507,Clark,6623
1508,Clay,263370
1509,Clinton,21721
1510,Cole,77625
1511,Cooper,17122
1512,Crawford,22808
1513,Dade,7622
1514,Dallas,17877
1515,Daviess,8541
1516,DeKalb,9884
1517,Dent,14721
1518,Douglas,12290
1519,Dunklin,27002
1520,Franklin,107256
1521,Gasconade,14655
1522,Gentry,6298
1523,Greene,307942
1524,Grundy,9766
1525,Harrison,8186
1526,Henry,22575
1527,Hickory,8766
1528,Holt,4241
1529,Howard,10150
1530,Howell,40762
1531,Iron,9420
1532,Jackson,727362
1533,Jasper,126479
1534,Jefferson,231888
1535,Johnson,55880
1536,Knox,3740
1537,Laclede,36738
1538,Lafayette,33511
1539,Lawrence,39151
1540,Lewis,9852
1541,Lincoln,65888
1542,Linn,11910
1543,Livingston,14658
1544,McDonald,24054
1545,Macon,15177
1546,Madison,12852
1547,Maries,8506
1548,Marion,28425
1549,Mercer,3452
1550,Miller,25668
1551,Mississippi,11750
1552,Moniteau,15294
1553,Monroe,8890
1554,Montgomery,11511
1555,Morgan,22399
1556,New Madrid,15212
1557,Newton,61519
1558,Nodaway,20503
1559,Oregon,8699
1560,Osage,13478
1561,Ozark,9090
1562,Pemiscot,14407
1563,Perry,19100
1564,Pettis,43791
1565,Phelps,45672
1566,Pike,17961
1567,Platte,113207
1568,Polk,33070
1569,Pulaski,53964
1570,Putnam,4539
1571,Ralls,10499
1572,Randolph,24077
1573,Ray,23199
1574,Reynolds,5927
1575,Ripley,10715
1576,St. Charles,423726
1577,St. Clair,9848
1578,Ste. Genevieve,18546
1579,St. Francois,67503
1580,St. Louis,992929
1581,Saline,23325
1582,Schuyler,4069
1583,Scotland,4698
1584,Scott,37957
1585,Shannon,7275
1586,Shelby,5926
1587,Stoddard,28438
1588,Stone,32630
1589,Sullivan,5750
1590,Taney,56744
1591,Texas,25715
1592,Vernon,19787
1593,Warren,38478
1594,Washington,23583
1595,Wayne,10820
1596,Webster,42041
1597,Worth,1872
1598,Wright,19505
1599,,279695
1600,Beaverhead,10006
1601,Big Horn,12796
1602,Blaine,6903
1603,Broadwater,8302
1604,Carbon,11498
1605,Carter,1399
1606,Cascade,84523
1607,Chouteau,5880
1608,Custer,11964
1609,Daniels,1625
1610,Dawson,8731
1611,Deer Lodge,9811
1612,Fallon,2946
1613,Fergus,11862
1614,Flathead,114527
1615,Gallatin,126984
1616,Garfield,1181
1617,Glacier,13503
1618,Golden Valley,863
1619,Granite,3602
1620,Hill,16065
1621,Jefferson,13304
1622,Judith Basin,2111
1623,Lake,33403
1624,Lewis and Clark,75129
1625,Liberty,1934
1626,Lincoln,22184
1627,McCone,1717
1628,Madison,9753
1629,Meagher,2065
1630,Mineral,5195
1631,Missoula,122546
1632,Musselshell,5452
1633,Park,18074
1634,Petroleum,525
1635,Phillips,4214
1636,Pondera,6078
1637,Powder River,1734
1638,Powell,7120
1639,Prairie,1112
1640,Ravalli,48187
1641,Richland,11028
1642,Roosevelt,10197
1643,Rosebud,8194
1644,Sanders,13895
1645,Sheridan,3448
1646,Silver Bow,36134
1647,Stillwater,9450
1648,Sweet Grass,3757
1649,Teton,6444
1650,Toole,5153
1651,Treasure,739
1652,Valley,7434
1653,Wheatland,2058
1654,Wibaux,911
1655,Yellowstone,171583
1656,Adams,31196
1657,Antelope,6358
1658,Arthur,423
1659,Banner,665
1660,Blaine,454
1661,Boone,5354
1662,Box Butte,10703
1663,Boyd,1700
1664,Brown,2877
1665,Buffalo,51156
1666,Burt,6727
1667,Butler,8439
1668,Cass,27492
1669,Cedar,8262
1670,Chase,3764
1671,Cherry,5558
1672,Cheyenne,9602
1673,Clay,6103
1674,Colfax,10826
1675,Cuming,8952
1676,Custer,10487
1677,Dakota,21335
1678,Dawes,8003
1679,Dawson,24554
1680,Deuel,1892
1681,Dixon,5526
1682,Dodge,37884
1683,Douglas,601158
1684,Dundy,1581
1685,Fillmore,5512
1686,Franklin,2817
1687,Frontier,2536
1688,Furnas,4468
1689,Gage,21687
1690,Garden,1804
1691,Garfield,1707
1692,Gosper,1808
1693,Grant,573
1694,Greeley,2197
1695,Hall,62869
1696,Hamilton,9564
1697,Harlan,3018
1698,Hayes,846
1699,Hitchcock,2460
1700,Holt,10120
1701,Hooker,698
1702,Howard,6572
1703,Jefferson,7136
1704,Johnson,5219
1705,Kearney,6749
1706,Keith,8148
1707,Keya Paha,819
1708,Kimball,3305
1709,Knox,8306
1710,Lancaster,332857
1711,Lincoln,33319
1712,Logan,694
1713,Loup,582
1714,McPherson,376
1715,Madison,35579
1716,Merrick,7837
1717,Morrill,4485
1718,Nance,3262
1719,Nemaha,7046
1720,Nuckolls,4094
1721,Otoe,16591
1722,Pawnee,2521
1723,Perkins,2779
1724,Phelps,9042
1725,Pierce,7334
1726,Platte,35499
1727,Polk,5269
1728,Red Willow,10409
1729,Richardson,7666
1730,Rock,1241
1731,Saline,14740
1732,Sarpy,204828
1733,Saunders,23406
1734,Scotts Bluff,35734
1735,Seward,17769
1736,Sheridan,4927
1737,Sherman,2949
1738,Sioux,1099
1739,Stanton,5756
1740,Thayer,4870
1741,Thomas,634
1742,Thurston,6637
1743,Valley,4032
1744,Washington,21254
1745,Wayne,9870
1746,Webster,3326
1747,Wheeler,808
1748,York,14375
1749,Churchill,26033
1750,Clark,2398871
1751,Douglas,49564
1752,Elko,54363
1753,Esmeralda,720
1754,Eureka,1877
1755,Humboldt,17116
1756,Lander,5785
1757,Lincoln,4345
1758,Lyon,63718
1759,Mineral,4475
1760,Nye,55990
1761,Pershing,6536
1762,Storey,4112
1763,Washoe,507280
1764,White Pine,8534
1765,,58148
1766,Belknap,65257
1767,Carroll,52580
1768,Cheshire,78078
1769,Coos,31094
1770,Grafton,93045
1771,Hillsborough,430462
1772,Merrimack,157869
1773,Rockingham,322433
1774,Strafford,134202
1775,Sullivan,44012
1776,Atlantic,279114
1777,Bergen,978641
1778,Burlington,475515
1779,Camden,533988
1780,Cape May,93875
1781,Cumberland,155678
1782,Essex,881527
1783,Gloucester,311783
1784,Hudson,736185
1785,Hunterdon,131708
1786,Mercer,392138
1787,Middlesex,890119
1788,Monmouth,647520
1789,Morris,523053
1790,Ocean,666434
1791,Passaic,526597
1792,Salem,65874
1793,Somerset,357467
1794,Sussex,147444
1795,Union,594160
1796,Warren,112031
1797,Bernalillo,671747
1798,Catron,3795
1799,Chaves,63697
1800,Cibola,26686
1801,Colfax,12307
1802,Curry,47156
1803,De Baca,1657
1804,Doña Ana,229366
1805,Eddy,61436
1806,Grant,27541
1807,Guadalupe,4385
1808,Harding,635
1809,Hidalgo,3966
1810,Lea,75151
1811,Lincoln,20025
1812,Los Alamos,19675
1813,Luna,25878
1814,McKinley,68945
1815,Mora,4096
1816,Otero,69711
1817,Quay,8403
1818,Rio Arriba,39955
1819,Roosevelt,18713
1820,Sandoval,157757
1821,San Juan,120817
1822,San Miguel,26428
1823,Santa Fe,157765
1824,Sierra,11389
1825,Socorro,15967
1826,Taos,34482
1827,Torrance,15986
1828,Union,3926
1829,Valencia,80813
1830,Albany,319964
1831,Allegany,47299
1832,Bronx,1384724
1833,Broome,196397
1834,Cattaraugus,75475
1835,Cayuga,74567
1836,Chautauqua,124105
1837,Chemung,81115
1838,Chenango,45776
1839,Clinton,77871
1840,Columbia,60299
1841,Cortland,45945
1842,Delaware,44191
1843,Dutchess,299963
1844,Erie,950602
1845,Essex,36744
1846,Franklin,47086
1847,Fulton,52073
1848,Genesee,57604
1849,Greene,46903
1850,Hamilton,5082
1851,Herkimer,59585
1852,Jefferson,113140
1853,Kings,2617631
1854,Lewis,26570
1855,Livingston,61561
1856,Madison,67072
1857,Monroe,752202
1858,Montgomery,49648
1859,Nassau,1392438
1860,New York,1660664
1861,Niagara,209570
1862,Oneida,228347
1863,Onondaga,469812
1864,Ontario,113012
1865,Orange,411767
1866,Orleans,39686
1867,Oswego,118305
1868,Otsego,60524
1869,Putnam,98409
1870,Queens,2316841
1871,Rensselaer,160749
1872,Richmond,498212
1873,Rockland,348144
1874,St. Lawrence,106198
1875,Saratoga,240360
1876,Schenectady,162261
1877,Schoharie,30151
1878,Schuyler,17121
1879,Seneca,32650
1880,Steuben,92015
1881,Suffolk,1535909
1882,Sullivan,80450
1883,Tioga,47574
1884,Tompkins,105602
1885,Ulster,182977
1886,Warren,65288
1887,Washington,59839
1888,Wayne,90757
1889,Westchester,1006447
1890,Wyoming,39588
1891,Yates,24387
1892,Alamance,183040
1893,Alexander,36693
1894,Alleghany,11379
1895,Anson,22432
1896,Ashe,27266
1897,Avery,17811
1898,Beaufort,44576
1899,Bertie,16939
1900,Bladen,29777
1901,Brunswick,167112
1902,Buncombe,279210
1903,Burke,88545
1904,Cabarrus,244925
1905,Caldwell,80739
1906,Camden,11184
1907,Carteret,70259
1908,Caswell,22363
1909,Catawba,167054
1910,Chatham,83874
1911,Cherokee,30373
1912,Chowan,13891
1913,Clay,12042
1914,Cleveland,102194
1915,Columbus,50054
1916,Craven,104167
1917,Cumberland,338430
1918,Currituck,32278
1919,Dare,38183
1920,Davidson,177809
1921,Davie,45383
1922,Duplin,50539
1923,Durham,343628
1924,Edgecombe,49124
1925,Forsyth,398143
1926,Franklin,79771
1927,Gaston,242010
1928,Gates,10299
1929,Graham,8179
1930,Granville,61544
1931,Greene,20671
1932,Guilford,558816
1933,Halifax,46992
1934,Harnett,146096
1935,Haywood,63048
1936,Henderson,120771
1937,Hertford,19169
1938,Hoke,55382
1939,Hyde,4583
1940,Iredell,206361
1941,Jackson,45281
1942,Johnston,249794
1943,Jones,9462
1944,Lee,68537
1945,Lenoir,55332
1946,Lincoln,97611
1947,McDowell,45269
1948,Macon,38717
1949,Madison,22352
1950,Martin,21523
1951,Mecklenburg,1206285
1952,Mitchell,15030
1953,Montgomery,26364
1954,Moore,108417
1955,Nash,97990
1956,New Hanover,243333
1957,Northampton,16580
1958,Onslow,212954
1959,Orange,152877
1960,Pamlico,12550
1961,Pasquotank,41418
1962,Pender,70077
1963,Perquimans,13460
1964,Person,40143
1965,Pitt,180783
1966,Polk,20320
1967,Randolph,148389
1968,Richmond,41990
1969,Robeson,118624
1970,Rockingham,93517
1971,Rowan,153384
1972,Rutherford,65587
1973,Sampson,60404
1974,Scotland,33898
1975,Stanly,67326
1976,Stokes,45857
1977,Surry,71547
1978,Swain,13945
1979,Transylvania,34103
1980,Tyrrell,3517
1981,Union,263386
1982,Vance,42337
1983,Wake,1232444
1984,Warren,19081
1985,Washington,10654
1986,Watauga,54997
1987,Wayne,120338
1988,Wilkes,66186
1989,Wilson,79958
1990,Yadkin,37995
1991,Yancey,18993
1992,Adams,2141
1993,Barnes,10798
1994,Benson,5756
1995,Billings,1063
1996,Bottineau,6391
1997,Bowman,2886
1998,Burke,2154
1999,Burleigh,103107
2000,Cass,200945
2001,Cavalier,3567
2002,Dickey,4930
2003,Divide,2124
2004,Dunn,4031
2005,Eddy,2309
2006,Emmons,3209
2007,Foster,3323
2008,Golden Valley,1795
2009,Grand Forks,73771
2010,Grant,2247
2011,Griggs,2227
2012,Hettinger,2419
2013,Kidder,2371
2014,LaMoure,4051
2015,Logan,1880
2016,McHenry,5135
2017,McIntosh,2461
2018,McKenzie,14782
2019,McLean,9845
2020,Mercer,8348
2021,Morton,34194
2022,Mountrail,9474
2023,Nelson,3007
2024,Oliver,1882
2025,Pembina,6588
2026,Pierce,3853
2027,Ramsey,11510
2028,Ransom,5590
2029,Renville,2376
2030,Richland,16658
2031,Rolette,11692
2032,Sargent,3710
2033,Sheridan,1268
2034,Sioux,3713
2035,Slope,660
2036,Stark,33767
2037,Steele,1767
2038,Stutsman,21546
2039,Towner,2051
2040,Traill,7989
2041,Walsh,10214
2042,Ward,68427
2043,Wells,3803
2044,Williams,40763
2045,Adams,27671
2046,Allen,100866
2047,Ashland,52420
2048,Ashtabula,96906
2049,Athens,63218
2050,Auglaize,45922
2051,Belmont,64692
2052,Brown,44292
2053,Butler,399542
2054,Carroll,26460
2055,Champaign,38907
2056,Clark,134985
2057,Clermont,214123
2058,Clinton,42019
2059,Columbiana,99823
2060,Coshocton,37003
2061,Crawford,41626
2062,Cuyahoga,1240594
2063,Darke,51462
2064,Defiance,38644
2065,Delaware,237966
2066,Erie,73841
2067,Fairfield,167762
2068,Fayette,28782
2069,Franklin,1356303
2070,Fulton,42028
2071,Gallia,28886
2072,Geauga,95362
2073,Greene,172347
2074,Guernsey,38219
2075,Hamilton,837359
2076,Hancock,75016
2077,Hardin,30402
2078,Harrison,14042
2079,Henry,27536
2080,Highland,43785
2081,Hocking,27429
2082,Holmes,44668
2083,Huron,58168
2084,Jackson,32723
2085,Jefferson,63900
2086,Knox,63848
2087,Lake,232360
2088,Lawrence,55829
2089,Licking,184898
2090,Logan,46085
2091,Lorain,322030
2092,Lucas,426291
2093,Madison,45531
2094,Mahoning,225786
2095,Marion,64976
2096,Medina,184625
2097,Meigs,21491
2098,Mercer,42648
2099,Miami,111950
2100,Monroe,13051
2101,Montgomery,537443
2102,Morgan,13532
2103,Morrow,35927
2104,Muskingum,86582
2105,Noble,14269
2106,Ottawa,39692
2107,Paulding,18755
2108,Perry,35682
2109,Pickaway,62158
2110,Pike,27065
2111,Portage,163839
2112,Preble,40801
2113,Putnam,34206
2114,Richland,124853
2115,Ross,76046
2116,Sandusky,58866
2117,Scioto,71798
2118,Seneca,54730
2119,Shelby,47952
2120,Stark,374091
2121,Summit,538370
2122,Trumbull,200300
2123,Tuscarawas,92048
2124,Union,71721
2125,Van Wert,28887
2126,Vinton,12545
2127,Warren,256059
2128,Washington,58332
2129,Wayne,116632
2130,Williams,36554
2131,Wood,133077
2132,Wyandot,21394
2133,Adair,19821
2134,Alfalfa,5712
2135,Atoka,14600
2136,Beaver,5025
2137,Beckham,22248
2138,Blaine,8573
2139,Bryan,50305
2140,Caddo,26337
2141,Canadian,181760
2142,Carter,49135
2143,Cherokee,48729
2144,Choctaw,14174
2145,Cimarron,2133
2146,Cleveland,303952
2147,Coal,5414
2148,Comanche,121396
2149,Cotton,5503
2150,Craig,14506
2151,Creek,73971
2152,Custer,28266
2153,Delaware,41771
2154,Dewey,4268
2155,Ellis,3601
2156,Garfield,62007
2157,Garvin,26149
2158,Grady,58353
2159,Grant,4123
2160,Greer,5433
2161,Harmon,2315
2162,Harper,3209
2163,Haskell,11811
2164,Hughes,13371
2165,Jackson,24541
2166,Jefferson,5374
2167,Johnston,10293
2168,Kay,43437
2169,Kingfisher,15820
2170,Kiowa,8257
2171,Latimer,9509
2172,Le Flore,49854
2173,Lincoln,34972
2174,Logan,53860
2175,Love,10423
2176,McClain,48434
2177,McCurtain,30805
2178,McIntosh,19710
2179,Major,7569
2180,Marshall,16147
2181,Mayes,40144
2182,Murray,13754
2183,Muskogee,66752
2184,Noble,10896
2185,Nowata,9561
2186,Okfuskee,11364
2187,Oklahoma,816490
2188,Okmulgee,37084
2189,Osage,46495
2190,Ottawa,30404
2191,Pawnee,16111
2192,Payne,84199
2193,Pittsburg,43395
2194,Pontotoc,38310
2195,Pottawatomie,74446
2196,Pushmataha,10800
2197,Roger Mills,3304
2198,Rogers,101371
2199,Seminole,23351
2200,Sequoyah,40555
2201,Stephens,44075
2202,Texas,20577
2203,Tillman,6736
2204,Tulsa,693514
2205,Wagoner,91257
2206,Washington,54060
2207,Washita,10839
2208,Woods,8582
2209,Woodward,19991
2210,Baker,16750
2211,Benton,98899
2212,Clackamas,425857
2213,Clatsop,41043
2214,Columbia,54063
2215,Coos,64326
2216,Crook,27336
2217,Curry,22774
2218,Deschutes,211535
2219,Douglas,112255
2220,Gilliam,1971
2221,Grant,7093
2222,Harney,7402
2223,Hood River,23764
2224,Jackson,221331
2225,Jefferson,25536
2226,Josephine,88276
2227,Klamath,70438
2228,Lake,8194
2229,Lane,382396
2230,Lincoln,51212
2231,Linn,132474
2232,Malheur,32315
2233,Marion,352867
2234,Morrow,12360
2235,Multnomah,795897
2236,Polk,90549
2237,Sherman,2002
2238,Tillamook,27264
2239,Umatilla,80491
2240,Union,26058
2241,Wallowa,7522
2242,Wasco,26507
2243,Washington,611272
2244,Wheeler,1456
2245,Yamhill,110886
2246,Adams,107914
2247,Allegheny,1231814
2248,Armstrong,63679
2249,Beaver,165540
2250,Bedford,47643
2251,Berks,439117
2252,Blair,120269
2253,Bradford,59699
2254,Bucks,650131
2255,Butler,199341
2256,Cambria,130108
2257,Cameron,4348
2258,Carbon,65743
2259,Centre,159805
2260,Chester,560745
2261,Clarion,36855
2262,Clearfield,78132
2263,Clinton,37865
2264,Columbia,66012
2265,Crawford,82089
2266,Cumberland,275516
2267,Dauphin,293029
2268,Delaware,584882
2269,Elk,30124
2270,Erie,267750
2271,Fayette,123941
2272,Forest,6601
2273,Franklin,159285
2274,Fulton,14452
2275,Greene,33960
2276,Huntingdon,43359
2277,Indiana,82953
2278,Jefferson,43367
2279,Juniata,23395
2280,Lackawanna,216859
2281,Lancaster,563293
2282,Lawrence,84233
2283,Lebanon,145319
2284,Lehigh,385655
2285,Luzerne,331379
2286,Lycoming,113236
2287,McKean,39478
2288,Mercer,108140
2289,Mifflin,45935
2290,Monroe,166523
2291,Montgomery,879190
2292,Montour,18115
2293,Northampton,322989
2294,Northumberland,90027
2295,Perry,46816
2296,Philadelphia,1573916
2297,Pike,62376
2298,Potter,15993
2299,Schuylkill,144523
2300,Snyder,39627
2301,Somerset,72134
2302,Sullivan,5927
2303,Susquehanna,38100
2304,Tioga,40698
2305,Union,42159
2306,Venango,49476
2307,Warren,37373
2308,Washington,210434
2309,Wayne,51419
2310,Westmoreland,350935
2311,Wyoming,25771
2312,York,471240
2313,Bristol,50145
2314,Kent,172450
2315,Newport,83468
2316,Providence,675912
2317,Washington,130333
2318,Abbeville,24607
2319,Aiken,179245
2320,Allendale,7551
2321,Anderson,217183
2322,Bamberg,12870
2323,Barnwell,20495
2324,Beaufort,201775
2325,Berkeley,264276
2326,Calhoun,14249
2327,Charleston,431001
2328,Cherokee,57770
2329,Chester,32323
2330,Chesterfield,44488
2331,Clarendon,31030
2332,Colleton,39259
2333,Darlington,62425
2334,Dillon,27577
2335,Dorchester,174663
2336,Edgefield,29455
2337,Fairfield,20369
2338,Florence,138049
2339,Georgetown,66035
2340,Greenville,570745
2341,Greenwood,70041
2342,Hampton,18172
2343,Horry,413391
2344,Jasper,35618
2345,Kershaw,71698
2346,Lancaster,111652
2347,Laurens,70545
2348,Lee,15958
2349,Lexington,313774
2350,McCormick,9983
2351,Marion,28368
2352,Marlboro,25498
2353,Newberry,39203
2354,Oconee,82475
2355,Orangeburg,83129
2356,Pickens,138207
2357,Richland,430651
2358,Saluda,19452
2359,Spartanburg,369256
2360,Sumter,104776
2361,Union,26678
2362,Williamsburg,29865
2363,York,303001
2364,Aurora,2752
2365,Beadle,19459
2366,Bennett,3289
2367,Bon Homme,7071
2368,Brookings,36359
2369,Brown,37495
2370,Brule,5261
2371,Buffalo,1825
2372,Butte,10891
2373,Campbell,1342
2374,Charles Mix,9343
2375,Clark,3974
2376,Clay,15245
2377,Codington,29278
2378,Corson,3747
2379,Custer,9330
2380,Davison,19907
2381,Day,5408
2382,Deuel,4335
2383,Dewey,5322
2384,Douglas,2849
2385,Edmunds,4027
2386,Fall River,7359
2387,Faulk,2136
2388,Grant,7618
2389,Gregory,4110
2390,Haakon,1834
2391,Hamlin,6596
2392,Hand,3097
2393,Hanson,3477
2394,Harding,1325
2395,Hughes,17526
2396,Hutchinson,7416
2397,Hyde,1215
2398,Jackson,2737
2399,Jerauld,1689
2400,Jones,874
2401,Kingsbury,5261
2402,Lake,11006
2403,Lawrence,28809
2404,Lincoln,75244
2405,Lyman,3721
2406,McCook,5771
2407,McPherson,2307
2408,Marshall,4395
2409,Meade,30918
2410,Mellette,1834
2411,Miner,2303
2412,Minnehaha,208639
2413,Moody,6529
2414,Oglala Lakota,13360
2415,Pennington,115979
2416,Perkins,2832
2417,Potter,2402
2418,Roberts,10283
2419,Sanborn,2392
2420,Spink,6108
2421,Stanley,3015
2422,Sully,1468
2423,Todd,9172
2424,Tripp,5717
2425,Turner,9087
2426,Union,17402
2427,Walworth,5270
2428,Yankton,23509
2429,Ziebach,2418
2430,Anderson,81449
2431,Bedford,54228
2432,Benton,16173
2433,Bledsoe,15591
2434,Blount,142211
2435,Bradley,113782
2436,Campbell,40238
2437,Cannon,15142
2438,Carroll,29107
2439,Carter,57434
2440,Cheatham,42604
2441,Chester,17876
2442,Claiborne,33070
2443,Clay,7857
2444,Cocke,37596
2445,Coffee,61285
2446,Crockett,13973
2447,Cumberland,65618
2448,Davidson,729505
2449,Decatur,11800
2450,DeKalb,21747
2451,Dickson,57641
2452,Dyer,36403
2453,Fayette,44476
2454,Fentress,20129
2455,Franklin,45137
2456,Gibson,51422
2457,Giles,30971
2458,Grainger,25073
2459,Greene,73398
2460,Grundy,14148
2461,Hamblen,67715
2462,Hamilton,386256
2463,Hancock,7038
2464,Hardeman,25434
2465,Hardin,27617
2466,Hawkins,59371
2467,Haywood,17097
2468,Henderson,28183
2469,Henry,32883
2470,Hickman,25859
2471,Houston,8538
2472,Humphreys,19554
2473,Jackson,12376
2474,Jefferson,59217
2475,Johnson,18506
2476,Knox,506748
2477,Lake,6422
2478,Lauderdale,24630
2479,Lawrence,46467
2480,Lewis,13418
2481,Lincoln,36751
2482,Loudon,62129
2483,McMinn,56754
2484,McNairy,26103
2485,Macon,27189
2486,Madison,100409
2487,Marion,29826
2488,Marshall,37847
2489,Maury,113411
2490,Meigs,13937
2491,Monroe,49154
2492,Montgomery,246025
2493,Moore,6773
2494,Morgan,21954
2495,Obion,30261
2496,Overton,23551
2497,Perry,8987
2498,Pickett,5108
2499,Polk,18338
2500,Putnam,84894
2501,Rhea,34759
2502,Roane,56742
2503,Robertson,78459
2504,Rutherford,376996
2505,Scott,22517
2506,Sequatchie,17620
2507,Sevier,100184
2508,Shelby,910530
2509,Smith,20783
2510,Stewart,14365
2511,Sullivan,162703
2512,Sumner,211721
2513,Tipton,62187
2514,Trousdale,12159
2515,Unicoi,17872
2516,Union,21064
2517,Van Buren,6686
2518,Warren,43619
2519,Washington,139642
2520,Wayne,15974
2521,Weakley,33162
2522,White,29108
2523,Williamson,269136
2524,Wilson,169948
2525,Anderson,59512
2526,Andrews,18923
2527,Angelina,88094
2528,Aransas,25595
2529,Archer,9155
2530,Armstrong,1809
2531,Atascosa,52783
2532,Austin,32546
2533,Bailey,7031
2534,Bandera,22830
2535,Bastrop,114931
2536,Baylor,3533
2537,Bee,31226
2538,Bell,399578
2539,Bexar,2127737
2540,Blanco,13358
2541,Borden,557
2542,Bosque,19013
2543,Bowie,91992
2544,Brazoria,413224
2545,Brazos,249624
2546,Brewster,9508
2547,Briscoe,1494
2548,Brooks,6740
2549,Brown,38631
2550,Burleson,20179
2551,Burnet,55722
2552,Caldwell,52430
2553,Calhoun,19942
2554,Callahan,14615
2555,Cameron,431874
2556,Camp,13164
2557,Carson,5822
2558,Cass,28622
2559,Castro,7380
2560,Chambers,56179
2561,Cherokee,53223
2562,Childress,6679
2563,Clay,10730
2564,Cochran,2583
2565,Coke,3396
2566,Coleman,7990
2567,Collin,1254658
2568,Collingsworth,2611
2569,Colorado,21475
2570,Comal,201628
2571,Comanche,14359
2572,Concho,3326
2573,Cooke,44258
2574,Coryell,86370
2575,Cottle,1263
2576,Crane,4594
2577,Crockett,2799
2578,Crosby,5030
2579,Culberson,2254
2580,Dallam,7526
2581,Dallas,2656028
2582,Dawson,11758
2583,Deaf Smith,18495
2584,Delta,5647
2585,Denton,1045120
2586,DeWitt,20252
2587,Dickens,1725
2588,Dimmit,8181
2589,Donley,3193
2590,Duval,9585
2591,Eastland,18290
2592,Ector,170022
2593,Edwards,1383
2594,Ellis,232387
2595,El Paso,875784
2596,Erath,44496
2597,Falls,17752
2598,Fannin,38650
2599,Fayette,25488
2600,Fisher,3665
2601,Floyd,5042
2602,Foard,1053
2603,Fort Bend,958434
2604,Franklin,10912
2605,Freestone,20645
2606,Frio,19520
2607,Gaines,22892
2608,Galveston,367407
2609,Garza,4645
2610,Gillespie,28159
2611,Glasscock,1153
2612,Goliad,7221
2613,Gonzales,20040
2614,Gray,20888
2615,Grayson,150532
2616,Gregg,126679
2617,Grimes,33448
2618,Guadalupe,195166
2619,Hale,31953
2620,Hall,2828
2621,Hamilton,8644
2622,Hansford,5006
2623,Hardeman,3417
2624,Hardin,58670
2625,Harris,5009302
2626,Harrison,71370
2627,Hartley,4996
2628,Haskell,5435
2629,Hays,292029
2630,Hemphill,3134
2631,Henderson,87467
2632,Hidalgo,914820
2633,Hill,38771
2634,Hockley,21505
2635,Hood,69126
2636,Hopkins,38784
2637,Houston,22197
2638,Howard,30833
2639,Hudspeth,3608
2640,Hunt,118729
2641,Hutchinson,19721
2642,Irion,1526
2643,Jack,9398
2644,Jackson,15284
2645,Jasper,32907
2646,Jeff Davis,1778
2647,Jefferson,253948
2648,Jim Hogg,4583
2649,Jim Wells,38886
2650,Johnson,210547
2651,Jones,20850
2652,Karnes,15137
2653,Kaufman,197829
2654,Kendall,51828
2655,Kenedy,330
2656,Kent,703
2657,Kerr,53900
